Year;Kanton;Divorces
1988;Zürich;2739
1988;Bern;1568
1988;Luzern;398
1988;Uri;17
1988;Schwyz;136
1988;Obwalden;23
1988;Nidwalden;40
1988;Glarus;61
1988;Zug;113
1988;Freiburg;301
1988;Solothurn;376
1988;Basel-Stadt;421
1988;Basel-Landschaft;414
1988;Schaffhausen;131
1988;Appenzell A. Rh.;73
1988;Appenzell I. Rh.;11
1988;St. Gallen;757
1988;Graubünden;213
1988;Aargau;834
1988;Thurgau;346
1988;Tessin;448
1988;Waadt;1528
1988;Wallis;247
1988;Neuenburg;362
1988;Genf;1073
1988;Jura;101
1989;Schweiz;12721
1989;Zürich;2650
1989;Bern;1515
1989;Luzern;429
1989;Uri;25
1989;Schwyz;182
1989;Obwalden;21
1989;Nidwalden;45
1989;Glarus;45
1989;Zug;124
1989;Freiburg;307
1989;Solothurn;434
1989;Basel-Stadt;401
1989;Basel-Landschaft;468
1989;Schaffhausen;158
1989;Appenzell A. Rh.;80
1989;Appenzell I. Rh.;11
1989;St. Gallen;719
1989;Graubünden;219
1989;Aargau;786
1989;Thurgau;333
1989;Tessin;480
1989;Waadt;1386
1989;Wallis;334
1989;Neuenburg;390
1989;Genf;1100
1989;Jura;79
1990;Schweiz;13184
1990;Zürich;2871
1990;Bern;1636
1990;Luzern;450
1990;Uri;16
1990;Schwyz;153
1990;Obwalden;37
1990;Nidwalden;32
1990;Glarus;46
1990;Zug;150
1990;Freiburg;270
1990;Solothurn;448
1990;Basel-Stadt;461
1990;Basel-Landschaft;504
1990;Schaffhausen;150
1990;Appenzell A. Rh.;78
1990;Appenzell I. Rh.;10
1990;St. Gallen;713
1990;Graubünden;255
1990;Aargau;830
1990;Thurgau;338
1990;Tessin;472
1990;Waadt;1341
1990;Wallis;371
1990;Neuenburg;378
1990;Genf;1060
1990;Jura;114
1991;Schweiz;13628
1991;Zürich;2929
1991;Bern;1589
1991;Luzern;461
1991;Uri;30
1991;Schwyz;158
1991;Obwalden;29
1991;Nidwalden;45
1991;Glarus;57
1991;Zug;122
1991;Freiburg;351
1991;Solothurn;413
1991;Basel-Stadt;456
1991;Basel-Landschaft;504
1991;Schaffhausen;136
1991;Appenzell A. Rh.;72
1991;Appenzell I. Rh.;6
1991;St. Gallen;737
1991;Graubünden;250
1991;Aargau;882
1991;Thurgau;407
1991;Tessin;560
1991;Waadt;1419
1991;Wallis;346
1991;Neuenburg;382
