Kanton;Jahr;CVP;SP;SVP
Bern;1981;2.1;30.0;38.3
Luzern;1981;50.9;7.9;0.0
Uri;1981;;;
Schwyz ;1981;49.7;15.5;4.3
Obwalden;1981;;;
Nidwalden;1981;;;
Glarus;1981;20.8;21.5;26.7
Zug;1981;47.5;14.5;0.0
Freiburg;1981;36.5;25.3;6.5
Solothurn;1981;30.7;23.0;0.0
Basel-Stadt;1981;13.1;26.5;0.0
Basel-Landschaft;1981;13.1;30.4;12.3
Schaffhausen;1981;10.4;30.9;20.7
Appenzell A. Rh. ;1981;;;
Appenzell I. Rh.;1981;;;
St. Gallen;1981;48.8;15.9;0.2
Graubünden;1981;;;
Aargau;1981;24.6;24.1;16.9
Thurgau ;1981;24.1;20.4;25.8
Tessin;1981;33.8;12.9;3.2
Waadt;1981;4.3;29.8;7.9
Wallis;1981;57.2;10.7;0.0
Neuenburg;1981;0.0;37.6;0.0
Genf;1981;13.2;25.4;0.0
Jura;1981;32.5;18.1;2.8
Zürich;1982;11.0;25.1;17.5
Bern;1982;2.4;25.9;37.3
Luzern;1982;50.9;7.9;0.0
Uri;1982;;;
Schwyz ;1982;49.7;15.5;4.3
Obwalden;1982;;;
Nidwalden;1982;53.0;5.5;0.0
Glarus;1982;20.2;19.7;28.1
Zug;1982;44.7;15.6;0.0
Freiburg;1982;36.5;25.3;6.5
Solothurn;1982;30.7;23.0;0.0
Basel-Stadt;1982;13.1;26.5;0.0
Basel-Landschaft;1982;13.1;30.4;12.3
Schaffhausen;1982;10.4;30.9;20.7
Appenzell A. Rh. ;1982;;;
Appenzell I. Rh.;1982;;;
St. Gallen;1982;48.8;15.9;0.2
Graubünden;1982;;;
Aargau;1982;24.6;24.1;16.9
Thurgau ;1982;24.1;20.4;25.8
Tessin;1982;33.8;12.9;3.2
Waadt;1982;3.2;27.9;7.8
Wallis;1982;57.2;10.7;0.0
Neuenburg;1982;0.0;37.6;0.0
Genf;1982;13.2;25.4;0.0
Jura;1982;31.8;18.2;2.3
Zürich;1983;11.3;19.9;17.0
Bern;1983;2.4;25.9;37.3
Luzern;1983;51.1;7.1;0.0
Uri;1983;;;
Schwyz ;1983;49.7;15.5;4.3
Obwalden;1983;;;
Nidwalden;1983;53.0;5.5;0.0
Glarus;1983;20.2;19.7;28.1
Zug;1983;44.7;15.6;0.0
Freiburg;1983;36.5;25.3;6.5
Solothurn;1983;30.7;23.0;0.0
Basel-Stadt;1983;13.1;26.5;0.0
Basel-Landschaft;1983;15.6;25.9;10.8
Schaffhausen;1983;10.4;30.9;20.7
Appenzell A. Rh. ;1983;;;
Appenzell I. Rh.;1983;;;
St. Gallen;1983;48.8;15.9;0.2
Graubünden;1983;;;
Aargau;1983;24.6;24.1;16.9
Thurgau ;1983;24.1;20.4;25.8
Tessin;1983;33.5;12.6;3.4
Waadt;1983;3.2;27.9;7.8
Wallis;1983;57.2;10.7;0.0
Neuenburg;1983;0.0;37.6;0.0
Genf;1983;13.2;25.4;0.0
Jura;1983;31.8;18.2;2.3
Zürich;1984;11.3;19.9;17.0
Bern;1984;2.4;25.9;37.3
Luzern;1984;51.1;7.1;0.0
Uri;1984;;;
Schwyz ;1984;48.0;14.5;4.1
Obwalden;1984;;;
Nidwalden;1984;53.0;5.5;0.0
Glarus;1984;20.2;19.7;28.1
Zug;1984;44.7;15.6;0.0
