"Jahr","Kanton","Ehedauer",Scheidungen
"1978","Vaud","Ehedauer - Total",973
"1978","Valais / Wallis","Ehedauer - Total",233
"1978","Neuchâtel","Ehedauer - Total",371
"1978","Genève","Ehedauer - Total",883
"1978","Jura","Ehedauer - Total",63
"1979","Schweiz","Ehedauer - Total",10394
"1979","Zürich","Ehedauer - Total",2334
"1979","Bern / Berne","Ehedauer - Total",1277
"1979","Luzern","Ehedauer - Total",336
"1979","Uri","Ehedauer - Total",27
"1979","Schwyz","Ehedauer - Total",101
"1979","Obwalden","Ehedauer - Total",10
"1979","Nidwalden","Ehedauer - Total",36
"1979","Glarus","Ehedauer - Total",61
"1979","Zug","Ehedauer - Total",110
"1979","Fribourg / Freiburg","Ehedauer - Total",180
"1979","Solothurn","Ehedauer - Total",357
"1979","Basel-Stadt","Ehedauer - Total",450
"1979","Basel-Landschaft","Ehedauer - Total",461
"1979","Schaffhausen","Ehedauer - Total",132
"1979","Appenzell Ausserrhoden","Ehedauer - Total",76
"1979","Appenzell Innerrhoden","Ehedauer - Total",3
"1979","St. Gallen","Ehedauer - Total",534
"1979","Graubünden / Grigioni / Grischun","Ehedauer - Total",191
"1979","Aargau","Ehedauer - Total",678
"1979","Thurgau","Ehedauer - Total",271
"1979","Ticino","Ehedauer - Total",328
"1979","Vaud","Ehedauer - Total",1003
"1979","Valais / Wallis","Ehedauer - Total",213
"1979","Neuchâtel","Ehedauer - Total",335
"1979","Genève","Ehedauer - Total",826
"1979","Jura","Ehedauer - Total",64
"1980","Schweiz","Ehedauer - Total",10910
"1980","Zürich","Ehedauer - Total",2539
"1980","Bern / Berne","Ehedauer - Total",1299
"1980","Luzern","Ehedauer - Total",369
"1980","Uri","Ehedauer - Total",24
"1980","Schwyz","Ehedauer - Total",98
"1980","Obwalden","Ehedauer - Total",27
"1980","Nidwalden","Ehedauer - Total",40
"1980","Glarus","Ehedauer - Total",35
"1980","Zug","Ehedauer - Total",113
"1980","Fribourg / Freiburg","Ehedauer - Total",219
"1980","Solothurn","Ehedauer - Total",364
"1980","Basel-Stadt","Ehedauer - Total",422
"1980","Basel-Landschaft","Ehedauer - Total",456
"1980","Schaffhausen","Ehedauer - Total",133
"1980","Appenzell Ausserrhoden","Ehedauer - Total",61
"1980","Appenzell Innerrhoden","Ehedauer - Total",10
"1980","St. Gallen","Ehedauer - Total",549
"1980","Graubünden / Grigioni / Grischun","Ehedauer - Total",181
"1980","Aargau","Ehedauer - Total",695
"1980","Thurgau","Ehedauer - Total",297
"1980","Ticino","Ehedauer - Total",350
"1980","Vaud","Ehedauer - Total",1021
"1980","Valais / Wallis","Ehedauer - Total",235
"1980","Neuchâtel","Ehedauer - Total",367
"1980","Genève","Ehedauer - Total",941
"1980","Jura","Ehedauer - Total",65
"1981","Schweiz","Ehedauer - Total",11131
"1981","Zürich","Ehedauer - Total",2610
"1981","Bern / Berne","Ehedauer - Total",1351
"1981","Luzern","Ehedauer - Total",329
"1981","Uri","Ehedauer - Total",26
"1981","Schwyz","Ehedauer - Total",117
"1981","Obwalden","Ehedauer - Total",17
"1981","Nidwalden","Ehedauer - Total",31
"1981","Glarus","Ehedauer - Total",56
"1981","Zug","Ehedauer - Total",134
"1981","Fribourg / Freiburg","Ehedauer - Total",180
"1981","Solothurn","Ehedauer - Total",405
"1981","Basel-Stadt","Ehedauer - Total",425
"1981","Basel-Landschaft","Ehedauer - Total",471
"1981","Schaffhausen","Ehedauer - Total",138
"1981","Appenzell Ausserrhoden","Ehedauer - Total",77
"1981","Appenzell Innerrhoden","Ehedauer - Total",6
