,Divorces_p1k,Pre_school_p1k,Primary_school_p1k,Secondary_school_p1k,SP,CVP,SVP,Foreigners_p1k,Cars_p1k,Average_age_when_married,Average_duration_of_marriage_when_divorced
84,1.9267617249849804,19.310276181030286,45.627281808454285,39.58037831362135,22.0,9.3,24.0,204.94061521288583,659.101816203995,30.8,15.114972
85,1.9267617249849804,19.310276181030286,45.627281808454285,39.58037831362135,22.0,9.3,24.0,204.94061521288583,659.101816203995,30.8,15.114972
86,1.8536106570255373,19.29873495486017,55.191698648806096,29.555380590401473,22.0,9.6,26.7,211.56935504941197,662.1344414982823,31.0,15.4806
87,1.995630619275691,19.09153292440411,56.51135758899812,29.115200403327453,22.0,9.6,26.7,216.16530823740302,664.8916057474163,30.8,15.022746
88,1.7141483435125409,19.482759221386438,61.078728882354376,30.499297965668255,22.0,9.6,26.7,221.70348717698582,668.5701145901199,31.2,15.324344
89,2.051143226021407,19.279358071994782,61.61412130551275,30.250024294420612,22.0,9.6,26.7,224.48044646203823,671.7060236280593,31.5,14.94258909
90,1.768762004781185,19.014191551397737,61.816850221786176,30.9636989235425,22.8,9.3,22.7,227.0924592701093,674.4096065886384,31.2,14.69864353
91,1.8971093140506377,18.75801202189924,61.4257876268606,31.896868738594147,22.8,9.3,22.7,229.75987132649868,680.4401843495356,31.3,15.40338515
93,1.2149179131120547,17.776167360271117,33.351628149861185,43.82230226944535,26.0,9.9,10.0,269.80769128296396,424.6511107440307,30.3,10.768918
94,2.7886672851787697,16.458499804257006,32.745389314041475,42.248309370458365,26.0,9.9,10.0,272.5010591572862,434.5548053563863,29.5,11.722946
95,2.5546409310246947,16.350773086831012,31.65719610751985,43.203958890096885,26.0,9.9,10.0,276.58674264536546,439.8320470867989,29.8,12.213583
96,2.6894826228348863,16.233331368903794,31.19156938275838,43.83535223114549,26.0,9.9,10.0,283.89042769202746,439.9875705185558,29.8,12.250921
97,2.6894826228348863,16.672649247534196,30.67188847754925,43.11208499193691,26.0,9.9,10.0,283.89042769202746,439.9875705185558,29.8,12.250921
98,3.1519226728304264,16.109826994466623,31.169013097989776,43.0062338026196,31.2,8.1,12.1,295.0145742749231,450.44477131049945,30.1,12.263955
99,3.2355455519364575,15.77734252415838,30.266959561091213,43.44720866563504,31.2,8.1,12.1,296.55019424094536,445.8073173107098,30.0,12.623631
100,3.1690844207377973,15.483703779686547,29.46654645381073,42.88251712763258,31.2,8.1,12.1,300.1074357410097,444.98912145637513,30.1,12.501597
101,2.8231336247535785,16.07096940087426,28.884889003171338,41.76309248307191,28.2,9.3,13.9,300.5592697351504,447.1907945487272,30.9,12.533013
