Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2016/17;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1);;; Primarstufe 3-8 (2);;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Appenzell I. Rh.;1851 ;963 ;888 ;345 ;196 ;149 ;892 ;451 ;441 ;554 ;275 ;279 ;161 ;93 ;68 ;393 ;182 ;211 ;- ;- ;- ;60 ;41 ;19 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Gallen;57329 ;29366 ;27963 ;10318 ;5376 ;4942 ;28915 ;14610 ;14305 ;14946 ;7413 ;7533 ;5297 ;2873 ;2424 ;9323 ;4380 ;4943 ;326 ;160 ;166 ;3150 ;1967 ;1183 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graubünden;19123 ;9893 ;9230 ;3443 ;1771 ;1672 ;9976 ;5130 ;4846 ;5452 ;2821 ;2631 ;1817 ;1079 ;738 ;3568 ;1706 ;1862 ;67 ;36 ;31 ;252 ;171 ;81 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thurgau;30264 ;15614 ;14650 ;5509 ;2831 ;2678 ;15584 ;7918 ;7666 ;7869 ;4000 ;3869 ;2651 ;1545 ;1106 ;4244 ;1904 ;2340 ;974 ;551 ;423 ;1302 ;865 ;437 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;86134 ;44578 ;41556 ;14206 ;7320 ;6886 ;46348 ;23724 ;22624 ;23551 ;12135 ;11416 ;5416 ;3189 ;2227 ;14741 ;7101 ;7640 ;3394 ;1845 ;1549 ;2029 ;1399 ;630 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luzern;43141 ;22330 ;20811 ;6857 ;3530 ;3327 ;23707 ;12170 ;11537 ;11801 ;6076 ;5725 ;2367 ;1373 ;994 ;7130 ;3455 ;3675 ;2304 ;1248 ;1056 ;776 ;554 ;222 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uri;3946 ;2084 ;1862 ;694 ;368 ;326 ;2120 ;1104 ;1016 ;1084 ;580 ;504 ;317 ;208 ;109 ;767 ;372 ;395 ;- ;- ;- ;48 ;32 ;16 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schwyz;16678 ;8574 ;8104 ;2831 ;1456 ;1375 ;8673 ;4421 ;4252 ;4618 ;2337 ;2281 ;1413 ;822 ;591 ;3205 ;1515 ;1690 ;- ;- ;- ;556 ;360 ;196 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obwalden;4056 ;2077 ;1979 ;603 ;312 ;291 ;2253 ;1137 ;1116 ;1148 ;591 ;557 ;338 ;199 ;139 ;810 ;392 ;418 ;- ;- ;- ;52 ;37 ;15 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
